vendor_name,legal_name,headquarters_address,address,rcs_number,vat_number,social_capital,eu_contact_name,eu_contact_address,eu_contact_country,eu_contact_email
Ines de la Fressange Paris,IDLF SA,10 rue du mail 75002 PARIS,10 rue du mail 75002 PARIS,Paris 792 301 806,FR67792301806,"64 418,50€",Fabrice Boé,10 rue du mail 75001 PARIS,,fboe@inesdelafressange.fr
DK Company Online,DK COMPANY ONLINE A/S LIMITED COMPANY,Thrigesvej 7 / 7430 Ikast / DANEMARK,Thrigesvej 7 / 7430 Ikast / DANEMARK,DK19778649,DK19778649,3 500 000 €,DK Company,"La Cours Vej 6, DK-7430 Ikast",,kamikast@dkcompany.com
Bestseller,BESTSELLER HANDELS B.V.,"KOIVISTOKADE 1C, 1013 AC AMSTERDAM THE NETHERLANDS","KOIVISTOKADE 1C, 1013 AC AMSTERDAM THE NETHERLANDS",59896604,NL853685757B01,5 000 00 €,BESTSELLER A/S,"Fredskovvej, 7330 Brande, Denmark",Danemark,careinfo@bestseller.com
Galeries Lafayette,GALERIES LAFAYETTE MANAGEMENT,"27 rue de Châteaudun, 75009 PARIS","27 rue de Châteaudun, 75009 PARIS",PARIS 552 116 329,FR 85 552 116 329,147 184 338 €,Galeries Lafayette Management,"27 rue de Châteaudun, 75009 Paris",,produit@galerieslafayette.com
Style Network,STYLE NETWORK INTERNATIONAL Société à responsabilité limitée à associé unique,29 boulevard Gay Lussac 13014 MARSEILLE,29 boulevard Gay Lussac 13014 MARSEILLE,MARSEILLE  502 079 460,FR82502079460,1 876 500 €,STYLE NETWORK INTERNATIONAL,29 Boulevard Gay Lussac,,sni.digital2@stylenetworkcorp.com
La Fée Maraboutée,LA FEE SAS,"3 chemin de la Chapelle, 42300 Malby","3 chemin de la Chapelle, 42300 Malby",Roanne 487 641 664,FR07487641664,4 498 200 €,Pierre-Yves VINCENT-FALQUET,"5 bis Rue Saint Isidore, 69003 Lyon, France",,pyvincentfalquet@lafeemaraboutee.fr
La Fiancée,LE DELTA DU MEKONG,"14 bis rue des Aulnes, 35590 SAINT GILLES","14 bis rue des Aulnes, 35590 SAINT GILLES",RENNES 753 494 038,FR43753494038,769 700 €,Aline Verger,14 bis rue des Aulnes 35590 SAINT GILLES,,a.verger@lafiancee-team.fr
Lee Cooper,LEE COOPER FRANCE SAS,"6 rue de La Trémoille, 75008 PARIS","6 rue de La Trémoille, 75008 PARIS",Paris 523 782 795,FR01523782795,580 000 €,GALIANA Valentine,"6 RUE DE LA TREMOILLE, 75008 PARIS",,sav@leecooper.fr
Le Temps des Cerises,SASU INDIGO GALLERY,13 rue Gustave Eiffel 13010 MARSEILLE,13 rue Gustave Eiffel 13010 MARSEILLE,MARSEILLE 50150500200011,FR10501505002,7 603 685 €,Dogg Label,13 rue Gustave Eiffel 13010 MARSEILLE,France,info@letempsdescerises.com
Rue des Hommes,RUE DES HOMMES SARL,47 Boulevard Alexandre III 59140 DUNKERQUE,"Zone Inova, 10 Allée 9, 88150 CAPAVENIR VOSGES",DUNKERQUE 484 374 830,FR94484374830,8 360 €,Julien GLADSTEIN,"52 rue de l'Assomption, 75016, Paris",,juliengladstein@yahoo.fr
Molly Bracken,GROUPE CHRONO IMPORT,68 rue de Hyères ZAC La Millonne 83140 SIX FOURS LES PLAGES,68 rue de Hyères ZAC La Millonne 83140 SIX FOURS LES PLAGES,TOULON 439 650 789,FR20439650789,2 000 000 €,Julian SIDONIO,85 Rue du Revest les Eaux  ZAC la Millonne  83140 Six-Fours-les-Plages,,marketplace@mollybracken.com
Liu Jo,DIGITAL BOITE SRL,"Via B. Franklin 18, 41012 - Carpi (MO), Italy","Via Cusani 5, 20121 - Milano (MI), Italy",MILAN 2608723,IT03796760365,100 000 €,EXELITE S.P.A.,"Viale John Ambrose Fleming 17, 41012, Carpi (MO), IT",,customerservice@liujo.com
Lolaliza,BLUESTORES SA,"Place du Samedi 1, 1000 Bruxelles","Place du Samedi 1, 1000 Bruxelles",Belgique 0446 908 395,BE 0446908395,23 570 €,Blue Stores SA,"Place du Samedi 1, 1000 Bruxelles",,customers@lolaliza.com
Maison 123,MAISON 123 SAS,57-59 rue Henri Barbusse 92110 CLICHY,57-59 rue Henri Barbusse 92110 CLICHY,NANTERRE 464 600 464,FR91464600464,1 784 340 €,Mathery Axelle,57/59 Rue Henri Barbusse 92110 Clichy,,axelle.mathery@maison123.com
Mango,"PUNTO FA, S.L.","Mercaders, 9-11 (Pol. Ind. Riera de Caldes), 08184 Palau-Solità Plegamans (Barcelona), ESPANA","Mercaders, 9-11 (Pol. Ind. Riera de Caldes), 08184 Palau-Solità Plegamans (Barcelona), ESPANA",SPAIN 59088948,ESB59088948,12 565 €,Clementina Gari,Calle Mercaders 9-11 Pol. Ind. Riera de Caldes C.P. 08184 Palau-solità i Plegamans Barcelona (Spain),,marketplace@mango.com
Marc O Polo,MARC O'POLO EINZELHANDELS GMBH,"Hofgartenstr. 1, 83071 Stephanskirchen, Allemagne","Hofgartenstr. 1, 83071 Stephanskirchen, Allemagne",Amtsgericht Traunstein HRB 6720,DE131 177 357,300 000 €,Marc O’Polo International GmbH,Hofgartenstraße 1 83071 Stephanskirchen,,service@marc-o-polo.com
Mise au Green,MISE AU GREEN,9 rue Gay Lussac 67201 ECKBOLSHEIM,9 rue Gay Lussac 67201 ECKBOLSHEIM,Strasbourg 333 634 061,FR32333634061,165 665 €,LEROY ANTOINE,9 RUE GAY LUSSAC 67201 ECKBOLSHEIM,,aleroy@mise-au-green.com
Monoprix,MONOPRIX EXPLOITATION,"14-16 rue Marc Bloch, 92116 CLICHY Cedex","14-16 rue Marc Bloch, 92116 CLICHY Cedex",552083297,FR26552083297,15 045 594 €,Monoprix Exploitation,14-16 rue Marc Bloch,,ahawawini@monoprix.fr
